"","k1","k2","Temp","Sunlight","Predation","Target","Water","T90"
"EcoliKAlt",4.5975,0.9778,14.1,1,1,1,0,0.1
"EcRes8lt",0.8873,0.5267,8,0,1,2,0,12
"SalmBn1UVlt",6.1528,0.1774,21,0,0,2,0,0
"A1CSlt",-8.1925,3.5147,30,0,0,3,1,19.2
"A1nCFlt",-0.3041,5.3247,30,0,1,3,0,1.6
"A1nCSlt",-9.5385,6.446,30,0,1,3,1,6.2
"A1nPF5lt",-4.5567,3.5946,5,0,1,3,0,6.5
"A1nPFlt",1.2335,3.9382,30,0,1,3,0,1.3
"A1nPS5lt",0.3807,1.4796,5,0,1,3,1,3.4
"A1nPSlt",2.8526,7.1717,30,0,1,3,1,0.9
"A1PFlt",-8.2087,6.3511,30,0,0,3,0,5.1
"A2nCFlt",1.72,4.9484,30,0,1,3,0,1.1
"A2nCSlt",-1.9626,4.1481,30,0,1,3,1,2.7
"A2nPF5lt",-7.5673,4.2232,5,0,1,3,0,10.1
"A2nPFlt",-2.6165,6.6236,30,0,1,3,0,2.1
"A2nPS5lt",0.6734,1.1292,5,0,1,3,1,3.9
"A2PFlt",-9.8841,6.8571,30,0,0,3,0,5.8
"A2PSlt",-2.9396,1.7193,30,0,0,3,1,19.8
"AD37lt",-7.0862,3.1633,37,0,0,4,0,18.8
"Adeno2UVAlt",6.3751,2.536,20,1,1,4,1,0.2
"Adeno37Sealt",6.8083,3.8475,37,0,1,4,1,0.3
"Adeno3UVAlt",6.9123,2.5807,37,1,1,4,1,0.2
"AdenoUVBlt",13.4342,3.3939,7,1,1,4,1,0
"AdWaF15lt",-7.9521,3.583,15,1,0,4,0,17
"AdWaF25lt",-6.2205,3.7505,25,1,0,4,0,9.4
"AdWaUn15lt",-5.0751,2.7237,15,1,1,4,0,14.4
"AdWaUn25lt",-6.6109,3.8476,25,1,1,4,0,9.9
"AdWiF15lt",-1.3533,1.1572,15,1,0,4,0,21.5
"AdWiUn15lt",-4.0575,2.2549,15,1,1,4,0,16
"ATF20lt",-13.3717,10.9958,20,0,0,2,0,4.1
"AVFLightlt",5.0434,7.8615,26,1,1,4,0,0.7
"AVSLightlt",0.9605,4.7831,26,1,1,4,1,1.3
"C521Filtlt",-0.3082,3.4466,25,0,0,2,1,2.1
"Camp20lt",-22.77,16.678,20,0,1,2,0,4.5
"CampShSumlt",0.1516,7.1781,21.5,1,1,2,0,1.3
"CampWaF15lt",-25.4805,9.7903,15,1,0,2,0,16.9
"CampWaF25lt",-12.9113,5.9327,25,1,0,2,0,12.8
"CampWaUn25lt",-6.7699,3.9482,25,1,1,2,0,9.7
"CampWiF25lt",-4.4255,3.1217,25,1,0,2,0,8.3
"CampWinSunlt",2.8376,6.3968,6.8,1,1,2,0,0.9
"CampWiUn15lt",-0.6976,1.7658,15,1,1,2,0,5.2
"CampWiUn25lt",-3.6401,2.8554,25,1,1,2,0,7.7
"cECFreshJenlt",-4.6327,3.9386,18.5,0,1,1,0,5.7
"cECSealt",-2.0707,4.8102,18,0,1,1,1,2.4
"cENTSealt",-1.0946,3.0131,18,0,1,1,1,3
"cENTW18cmlt",3.7087,4.1404,15.6,1,1,1,1,0.7
"cENTW99cmlt",-0.4451,4.3141,15.6,1,1,1,1,1.8
"Cj4Alt",-18.8282,10.7358,6,0,1,2,0,7.1
"Cj4Blt",-3.0334,5.4767,16,0,1,2,0,2.6
"CjA5lt",-18.4896,10.6016,6,0,1,2,0,7
"CjA8lt",-42.1848,19.1727,6,0,1,2,0,10.1
"CJAT10lt",4.3326,2.3849,10,0,0,2,0,0.4
"CjB5lt",-2.8653,5.4488,16,0,1,2,0,2.5
"CjB8lt",-6.7179,5.411,16,0,1,2,0,5.2
"ClosPFWlt",-1.6899,1.5661,15,0,0,1,0,12
"ColFDarklt",0.9195,3.9318,26,0,1,1,0,1.4
"ColFLightlt",1.1545,6.7888,26,1,1,1,0,1.2
"ColiFreshSunlt",7.5055,2.2037,24,1,1,1,0,0.1
"coliPdarklt",-5.6855,5.8565,24.2,0,1,3,0,3.8
"ColiSeaSunlt",24.0407,5.772,24,1,1,1,1,0
"ColSDarklt",-4.94,9.5706,26,0,1,1,1,2.1
"ColSLightlt",-3.1559,12.6956,26,1,1,1,1,1.5
"CryWaF15lt",-11.7003,4.8174,15,1,0,5,0,17.9
"CryWaUn15lt",-4.2884,2.7481,15,1,1,5,0,10.6
"CryWiF15lt",-20.4649,7.5778,15,1,0,5,0,19.9
"CryWiUn15lt",-10.2196,4.639,15,1,1,5,0,14.5
"CryWiUn25lt",-18.0509,7.1644,25,1,1,5,0,16.9
"CXB30lt",-2.9399,4.3579,30,0,1,4,1,3.3
"CXF30lt",-0.7813,4.1774,30,0,1,4,0,2
"CXS30lt",0.0307,3.379,30,0,1,4,1,1.9
"D2NSPlt",2.3001,5.3719,23.9,0,1,1,0,1
"Dis0xlt",-0.5235,2.6701,21.7,1,0,1,0,2.8
"Dm320Clt",3.7004,3.9813,20,0,1,3,0,0.7
"Dm34Clt",-3.2869,4.371,4,0,1,3,0,3.5
"EaughBAlt",0.8024,3.0985,25,0,1,1,1,1.6
"EaughSAlt",1.1045,2.8216,25,0,1,1,1,1.5
"EaugmBAlt",-3.5777,7.2402,25,0,1,1,1,2.2
"EaugmSAlt",-3.3425,8.8231,25,0,1,1,1,1.9
"EC23sBIlt",2.9155,2.06,22.9,1,1,1,1,0.7
"EC23sLSlt",2.544,1.9385,22.9,1,1,1,0,0.8
"EC23sNBlt",2.6809,1.8171,22.9,1,1,1,1,0.8
"EC37lt",-15.1539,5.6278,37,0,0,2,0,21.8
"Ec4Alt",-23.9742,12.9486,6,0,1,2,0,7.5
"Ec4Blt",-13.4441,10.6086,16,0,1,2,0,4.4
"EC4lt",-22.2963,5.1972,4,0,0,2,0,111.4
"EcAElt",-18.6172,8.358,6,0,1,1,0,12.1
"EcAHlt",-24.4693,13.1582,6,0,1,1,0,7.6
"ECASSlt",-3.3382,6.5811,23.8,1,1,1,1,2.3
"ECASUlt",-2.228,7.3987,23.8,1,1,1,1,1.8
"ECAT10lt",-13.676,6.135,10,0,0,1,0,13.3
"EcATlt",-24.5195,12.9542,6,0,1,1,0,7.9
"ECAW15lt",-2.6821,6.1738,16.6,1,1,1,1,2.2
"ECB15lt",0.675,3.841,15,0,1,1,1,1.5
"ECB30lt",0.8063,2.921,30,0,1,1,1,1.6
"EcBElt",-12.5109,8.5506,16,0,1,1,0,5.6
"EcBHlt",-13.0345,10.4004,16,0,1,1,0,4.3
"EcBMCultlt",-4.7972,3.922,21,0,1,1,1,5.9
"EcBMpcrlt",-3.7247,3.8345,21,0,1,1,1,4.7
"ECeast_clt",-1.3804,1.6349,9.4,1,1,1,0,8.9
"ECeast_wlt",-1.7217,2.8775,22.7,1,1,1,0,3.9
"ECFA14lt",0.5884,3.9735,14,0,1,1,1,1.5
"ECFA20lt",-2.4833,4.9441,20,0,1,1,1,2.6
"ECFB14lt",-0.5984,4.7052,14,0,1,1,1,1.8
"ECFB20lt",-3.1668,5.6695,20,0,1,1,1,2.6
"ECFClt",-6.7716,2.3111,5,0,0,1,0,48.5
"EcLH8lt",-5.4566,2.2469,8,0,1,2,0,30.2
"EcLJ15lt",-10.0843,3.9325,15,0,1,2,0,22.7
"EcLJ25lt",-6.6467,3.3711,25,0,1,2,0,13.8
"ECNatClt",-7.0671,4.4299,5,0,1,1,0,8.1
"ECNatWlt",-3.4565,3.1864,15,0,1,1,0,5.9
"ECNWlt",0.2179,1.5254,15,0,1,1,1,3.7
"ecoliBFlt",-4.8634,2.9946,15,1,1,1,0,10.6
"EcoliBn1UVlt",-1.0102,1.6184,21,0,0,1,0,7.3
"EcoliControllt",2.3954,3.5274,25,0,1,1,0,0.9
"EcoliFFlt",-6.6084,4.1497,16.7,1,0,1,0,8.3
"EcolifreshAh_lt",-16.0654,11.2107,15.8,1,1,1,0,5.1
"ecoliHFlt",-11.9622,6.4457,15,1,1,1,0,9
"EcoliLakelt",-2.6393,3.0698,10,0,1,2,0,4.8
"EcoliLightlt",1.6325,4.3214,25,1,1,1,0,1.1
"EcoliNFlt",4.5644,3.8065,16.7,1,1,1,0,0.5
"EcoliPredationlt",-2.1105,3.7207,25,0,0,1,0,3.2
"EcoliRiverlt",0.6787,2.5088,10,0,1,2,0,1.8
"EcoliseaAh_lt",-7.6024,8.7897,15.8,1,1,1,1,3
"EcoliSedimentlt",1.6519,3.3263,25,0,1,1,0,1.2
"EcoliTemperaturelt",1.5504,3.0602,15,0,1,1,0,1.2
"EcOverFiltlt",-3e-04,1.4438,25,0,0,1,0,4.6
"EcOverlt",-1.3912,5.413,25,0,1,1,0,1.9
"ECPeast_clt",-5.4998,3.3453,9.4,1,1,1,0,10
"ECPeast_wlt",2.0212,2.2323,22.7,1,1,1,0,1.1
"ECPPS5lt",4.4099,7.2412,17.6,1,1,1,1,0.7
"ECPPS99lt",0.7316,4.9582,17.6,1,1,1,1,1.3
"ECPW18lt",3.4401,2.8561,15.1,1,1,1,1,0.6
"ECPW5lt",4.1538,3.2707,15.1,1,1,1,1,0.5
"ECPW99lt",-2.1817,7.3112,15.1,1,1,1,1,1.8
"EcRes15lt",-13.7757,4.5686,15,0,1,2,0,33
"EcRes25lt",-12.0771,4.5502,25,0,1,2,0,23
"ECS15lt",1.6369,2.4799,15,0,1,1,1,1.3
"ECS30lt",4.3797,1.3617,30,0,1,1,1,0.2
"ECSEMlt",1.4224,2.9992,20,0,1,1,1,1.3
"ECSIMlt",1.1501,4.1789,20,0,1,1,1,1.3
"ECSS2lt",1.3682,3.7179,23.4,1,1,1,0,1.2
"ECSS6lt",-2.0923,5.2921,23.4,1,1,1,0,2.2
"ECSSSlt",-0.3206,3.039,25,1,1,1,0,2.3
"ECSSUlt",2.6411,4.6063,25,1,1,1,0,0.9
"ECSWUlt",-0.3293,5.8281,13.6,1,1,1,0,1.5
"ECUSDlt",1.3703,2.201,20,0,1,1,1,1.5
"ECW18cmlt",5.508,2.0768,15.6,1,1,1,1,0.2
"ECWaF15lt",-23.9684,16.5016,15,1,0,1,0,4.9
"ECWaF25lt",-20.9463,15.4047,25,1,0,1,0,4.5
"ECWiF15lt",-38.334,27.1543,15,1,0,1,0,4.4
"ECWiF25lt",-23.156,23.2146,25,1,0,1,0,3
"ECWiUn15lt",-14.1203,17.7438,15,1,1,1,0,2.5
"ECWiUn25lt",-11.1507,13.0076,25,1,1,1,0,2.8
"EnAFcultlt",-0.6909,2.079,20.7,1,1,1,0,4
"EnAMCultlt",-2.0162,4.4654,21,1,1,1,1,2.6
"EnBMCultlt",-7.5111,9.0048,21,0,1,1,1,2.9
"EnBMpcrlt",-3.9741,4.1724,21,0,1,1,1,4.4
"EnCFCultlt",-2.8132,3.2978,20.7,1,0,1,0,4.6
"EnCMpcrlt",-7.9667,6.0797,21,1,0,1,1,5.3
"ENNWlt",1.1551,1.8842,15,0,1,1,1,1.7
"Ent0RPMlt",0.3846,2.4468,20,0,1,1,0,2.1
"Ent120RPMlt",-3.4271,4.7684,20,0,1,1,0,3.3
"ENT23sBIlt",2.4241,2.1004,22.9,1,1,1,1,0.9
"Ent60RPMlt",0.5434,2.1836,20,0,1,1,0,2.1
"ENTASSlt",-1.4558,5.1257,23.8,1,1,1,1,2
"ENTAUSlt",3.1311,4.1225,23.8,1,1,1,1,0.8
"ENTAW15lt",0.7517,3.9798,16.6,1,1,1,1,1.4
"ENTDarkCElt",-1.5704,2.3096,10,0,1,1,1,5.1
"ENTDarkCFUlt",-0.7286,4.2119,10,0,1,1,1,2
"ENTeast_clt",-1.1123,1.3456,9.4,1,1,2,0,11.7
"ENTeast_wlt",-0.2457,1.4648,22.7,1,1,2,0,5.3
"EnterococcifreshAh_lt",-5.4308,7.52,15.8,1,1,1,0,2.8
"EnterococciseaAh_lt",-3.0476,6.5334,15.8,1,1,1,1,2.2
"ENTFA14lt",-1.1599,3.5446,14,0,1,1,1,2.6
"ENTFB14lt",-1.5606,4.401,14,0,1,1,1,2.3
"ENTFB20lt",-2.3044,3.7497,20,0,1,1,1,3.3
"ENTFClt",-9.0447,2.5923,5,0,0,1,0,76.5
"ENTFreshJenlt",-1.3382,3.7095,18.5,0,1,1,0,2.6
"EntKAlt",-1.0389,6.5545,14.1,1,1,1,0,1.6
"EntKBlt",-3.5252,6.144,14.1,0,1,1,0,2.5
